"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_3","recall_3","f1_3","precision_4","recall_4","f1_4","beta_asc_cycling","se_asc_cycling","beta_asc_walking","se_asc_walking","beta_asc_hsr","se_asc_hsr","beta_asc_car","se_asc_car","beta_b_tc","se_b_tc","beta_b_tw","se_b_tw","beta_b_lsw","se_b_lsw","beta_b_lshw","se_b_lshw","beta_b_sdw","se_b_sdw","beta_b_swd","se_b_swd","beta_b_th","se_b_th","beta_b_lsh","se_b_lsh","beta_b_lshh","se_b_lshh","beta_b_sh","se_b_sh","beta_b_at","se_b_at","beta_b_sdh","se_b_sdh","beta_b_swdh","se_b_swdh","beta_b_ttc","se_b_ttc","beta_b_lsc","se_b_lsc","beta_b_lshc","se_b_lshc","beta_b_sdc","se_b_sdc","beta_b_swdc","se_b_swdc","beta_b_parking","se_b_parking","loglik_train","loglik_nula","rho2","convergio","vot"
"whalen","CVAE",9,0,2276,1176,0.670289855072464,0.600219681893214,-194.032165735213,-0.703015093243525,0.615496617879342,0.29764575325194,276,0.225,0.9,0.36,0.858407079646018,0.683098591549296,0.76078431372549,0.607142857142857,0.5,0.548387096774194,0.671641791044776,0.803571428571429,0.731707317073171,0,NA,-4.74109854118483,0.672996364717053,-1.62814249984916,0.697209337040097,-1.8537046653294,0.733607494333702,-0.00970306225270858,0.0552763798164454,0.0843097533909927,0.0182049512954382,-0.67954691656203,0.24006387363919,1.07654218423348,0.226483368463116,0.560213883420471,0.127454499652969,-0.203590785657798,0.0539110557704296,-0.0319119480562257,0.00538438097177895,0.0515811648350384,0.278817206619259,-1.30587280830072,0.222856868472816,0.61373698715085,0.134736556487037,-0.133776490939782,0.0207044371926694,0.829986151262076,0.127135202859452,-0.347900014661019,0.0528256102764937,-0.503900603344086,0.0509957102676668,-0.236464620383097,0.327754044482507,-2.28249448275751,0.28089324130776,0.810261029837423,0.131975689862626,-0.345166298963471,0.0554051447211404,2.8034059440827,0.36459203638961,-1214.28298774681,-2041.85946584504,0.405305307216986,TRUE,NA
"whalen","CVAE",9,1,2272,1171,0.701818181818182,0.627337513549629,-189.416826804363,-0.688788461106775,0.628473904639628,0.269494995394791,275,0.235294117647059,0.888888888888889,0.372093023255814,0.858333333333333,0.72027972027972,0.783269961977186,0.60655737704918,0.552238805970149,0.578125,0.75,0.803571428571429,0.775862068965517,0,NA,-4.56978361320118,0.736640380583349,-1.74795018288702,0.765692530670097,-2.51385120250499,0.799726915544735,0.132582673018046,0.0844959465329966,0.070687867479579,0.0183405960930242,-1.131433978339,0.25781899338408,1.05662294196876,0.215732850871496,0.652661486669759,0.130852232226005,-0.231814220190579,0.055100332514166,-0.0366082556393429,0.00525427501885358,-0.669552301026364,0.339091318608226,-1.25043483877652,0.251086372414964,0.385851834454384,0.136074302017015,-0.134148283067151,0.0216617998478589,0.915591415026668,0.130826962302676,-0.363990123040097,0.0542644857782444,-0.522669352349381,0.051475180930796,-1.0002869709165,0.382871723223578,-2.47017127517426,0.300049281698877,0.958996529747844,0.135902514449176,-0.377664561721353,0.0566632242896828,2.55343583527654,0.308484355483703,-1194.7261392087,-2032.83500146438,0.412285729856056,TRUE,NA
"whalen","CVAE",9,2,2276,1175,0.64,0.542289402173913,-222.131801394708,-0.807752005071666,0.6169060663153,0.153814814124786,275,0.217391304347826,0.555555555555556,0.3125,0.791044776119403,0.746478873239437,0.768115942028985,0.442622950819672,0.402985074626866,0.421875,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,-5.70383175160047,0.647363939488222,-1.94589005823608,0.709208286124567,-2.24127163518397,0.767058530143451,-0.0110378903302997,0.0469823273767787,0.104592260468443,0.020523065583387,-0.850996306006184,0.277112028780485,1.08926870164051,0.247528831913361,0.643565284456476,0.103993184355618,-0.203669097739665,0.0435140827424081,-0.031678590528116,0.00590668318110645,-0.364001256467066,0.323185072425709,-1.79627688732694,0.225502233060737,0.385869969351881,0.142114555014346,-0.17555382925425,0.0244658180684952,1.00159194667053,0.105612796183889,-0.388726795653141,0.042593411865296,-0.579512972282172,0.0628337228234636,-0.731674503442923,0.369855593474391,-2.72857894726806,0.299789225799342,0.895375397386511,0.113741165077562,-0.345539230472339,0.0462243133568356,2.74892473639423,0.36990287709428,-1122.86031724052,-2057.79038809692,0.454336883029685,TRUE,NA
"whalen","CVAE",9,3,2276,1175,0.632727272727273,0.552022542862293,-240.274041635869,-0.873723787766797,0.5943335138487,0.214844896486438,275,0.216216216216216,0.8,0.340425531914894,0.813008130081301,0.704225352112676,0.754716981132075,0.5,0.402985074626866,0.446280991735537,0.639344262295082,0.696428571428571,0.666666666666667,0,NA,-4.83190601155918,0.642152323896294,-1.69749663724356,0.674208553075753,-1.43087942916494,0.752482944750649,-0.012442849065153,0.0563166481195262,0.0964416275240297,0.0165591151472837,-0.849072003099439,0.265272101309904,1.23749715855855,0.230012950835686,0.544827399065489,0.114927471606323,-0.196406555812331,0.0481433117332398,-0.0267956678416359,0.00578387182671038,-0.406927491237487,0.278006954494017,-1.60056961876774,0.222323852316575,0.581293356580982,0.143859879437147,-0.165627027654571,0.0228486619609215,0.927207815579399,0.117279493258108,-0.380757550175127,0.0484653319594931,-0.605040457644018,0.0624606413832259,-0.803154959550414,0.343980660203779,-2.71236119620551,0.314541708568095,0.833197175510111,0.123673306815956,-0.353976199224423,0.051042633599681,2.54494750966041,0.313335931940688,-1126.81363387124,-2053.42095287663,0.451250542518963,TRUE,NA
"whalen","CVAE",9,4,2276,1175,0.647272727272727,0.555858901360668,-209.942467153019,-0.763427153283707,0.603232831102428,0.329328469267884,275,0.157894736842105,0.6,0.25,0.882882882882883,0.690140845070423,0.774703557312253,0.515625,0.492537313432836,0.50381679389313,0.661290322580645,0.732142857142857,0.694915254237288,0,NA,-4.50169904678256,0.691745802491371,-1.56996522085816,0.730349681748191,-2.19168697773767,0.786424010826642,0.087512735652814,0.057794007828611,0.0527121627868352,0.0149884826327006,-0.237072720911311,0.272620764449934,1.05861602263335,0.230204227938511,0.792632727657882,0.135639362325765,-0.304653719618757,0.0594106127082418,-0.0346489769693995,0.00505892297996082,0.326062144101928,0.351725694229605,-1.64689475248219,0.255445627333459,0.405619519252262,0.133750249375388,-0.141199151712667,0.0190183534042831,1.03646918741284,0.135499783313678,-0.425258381240357,0.0581715591715793,-0.45071726770005,0.0500212333362545,0.133955190358949,0.384761032784556,-2.510425957501,0.311533669381311,1.0220533738893,0.140420429787723,-0.423845510840674,0.060465127804577,2.08986373331808,0.263638491060696,-1218.29559823499,-2042.98518020047,0.403668900762441,TRUE,NA
"whalen","class_weights",0,0,1100,0,0.739130434782609,0.654630750605327,-173.648540386772,-0.629161378212942,0.63835356768051,0.20531783841583,276,0.346153846153846,0.9,0.5,0.876811594202899,0.852112676056338,0.864285714285714,0.62,0.455882352941176,0.525423728813559,0.693548387096774,0.767857142857143,0.728813559322034,0,NA,5.54408220990589,2.48926336424238,7.55476104060359,2.22457292051228,4.79076690310039,2.30011328135777,3.33061410651042,0.851589360014108,0.0253044405617212,0.0173158908936356,-0.487377767460999,1.23459372200811,-0.779670539959818,1.24051705090883,-0.0140050328580888,0.0948284215841965,0.00477357871459358,0.0393073564628793,-0.0174329827724552,0.00785528527944254,-1.08780647146727,0.994933701084022,-3.44262191813488,0.973153736477874,0.540353687545187,0.191514798748517,-0.0829904314861188,0.0149206840475131,0.204122005863185,0.0995328160942752,-0.100392778672773,0.039698345437286,0.439712894556466,0.229006514009524,-0.980349865905498,1.01864376759426,-3.8455994436714,1.01867887373716,0.245271918681624,0.105793502191786,-0.105820304698502,0.0434983674647387,2.51966438889179,0.449487534380591,-596.615828423068,-994.804269846876,0.400268126598511,TRUE,NA
"whalen","class_weights",0,1,1101,0,0.716363636363636,0.611546259903924,-169.660668744147,-0.616947886342352,0.633003705135779,0.22145528931545,275,0.2,0.666666666666667,0.307692307692308,0.862595419847328,0.79020979020979,0.824817518248175,0.64,0.477611940298507,0.547008547008547,0.71875,0.821428571428571,0.766666666666667,0,NA,5.4456810570588,2.77214708142654,7.59819861167868,2.61826529876881,5.00362999551347,2.70767929839404,3.48765225863066,1.08842922500254,0.0354518662652781,0.0156997350085025,-0.400706693266572,1.1898141544516,0.123370890205021,1.15025331593908,0.125129199282602,0.100916129411834,-0.0802106168588535,0.051187321669818,-0.0143844822733455,0.00759726789783692,-1.18597648983201,0.952798728010941,-2.71604986996998,0.886409945444798,0.40567809131472,0.185149571430652,-0.0850839990443417,0.01537017988777,0.345284316571536,0.100593078079252,-0.177132601927716,0.0478230737959306,0.389501707259478,0.233272798794406,-1.26726050993433,0.965408841344099,-3.07680109646438,0.918795695290729,0.361822320681786,0.106923965908918,-0.165439478605732,0.0512323041873807,2.54416622755549,0.478208374611428,-587.765242701615,-991.792190982227,0.407370568103063,TRUE,NA
"whalen","class_weights",0,2,1101,0,0.687272727272727,0.607740136611556,-165.658054782229,-0.602392926480834,0.618868478750902,0.301439998712568,275,0.236842105263158,1,0.382978723404255,0.905172413793103,0.73943661971831,0.813953488372093,0.548387096774194,0.507462686567164,0.527131782945736,0.694915254237288,0.719298245614035,0.706896551724138,0,NA,5.06167368449984,2.39253908183379,7.15847388446863,2.10189320601254,4.92639273140965,2.18359121244655,2.9973809782691,0.759427742015243,0.0158346087443577,0.0144176428287124,-1.11531651272657,1.16974992558985,-0.72678600574623,1.20647824335011,0.0431953618112129,0.0881999897086024,-0.0271417505188759,0.0384970714557072,-0.0239602617336792,0.00752996411384529,-1.77770404099096,0.898371081687039,-3.06208772810223,0.898269210439023,0.381512758344415,0.185088287723505,-0.0825526547550026,0.0146468204942942,0.213055339825582,0.0865346134061456,-0.117364697051022,0.0372568064288432,0.229609186601105,0.209808675940219,-1.53138868610047,0.923064611978103,-3.54779770942285,0.937813624552632,0.221012764570482,0.0928719785845487,-0.115763175910425,0.0408533316921289,2.44081967964577,0.442165998270862,-617.097233927699,-1000.59591849182,0.383270286712903,TRUE,NA
"whalen","class_weights",0,3,1101,0,0.730909090909091,0.651701318432176,-159.873159658485,-0.581356944212672,0.635165388275856,0.225812792348089,275,0.28125,0.9,0.428571428571429,0.876923076923077,0.802816901408451,0.838235294117647,0.596774193548387,0.552238805970149,0.573643410852713,0.803921568627451,0.732142857142857,0.766355140186916,0,NA,6.68363238843661,2.61306525033532,8.81272042007383,2.16408316189526,6.63467823115227,2.25372172342558,3.86963785364732,0.606501085228549,0.016658087704762,0.0173058053570386,-0.592268080158231,1.48993957456111,-0.659776705303989,1.49873957189972,0.115036039465994,0.102702126099259,-0.0666083767803795,0.0391779244967855,-0.0157846115754059,0.00747100540061967,-1.13490645983282,1.19134190408586,-3.06986872589866,1.12674459261948,0.41687056155338,0.189621515355403,-0.077736262380683,0.0143349883703606,0.246092971819772,0.103181642023021,-0.142360100886964,0.0398182620323172,0.316407638726299,0.227904813857892,-1.02983787136572,1.20435287751163,-3.51005513470868,1.16690335686207,0.24093518400687,0.109420538314351,-0.131291512904227,0.0433912141258396,2.42908078207082,0.440840793057122,-594.68345644478,-1002.59603627875,0.406856365947728,TRUE,NA
"whalen","class_weights",0,4,1101,0,0.738181818181818,0.658139164169155,-168.166254359467,-0.611513652216242,0.639486993622766,0.232666832675755,275,0.333333333333333,0.9,0.486486486486486,0.880597014925373,0.830985915492958,0.855072463768116,0.622950819672131,0.567164179104478,0.59375,0.716981132075472,0.678571428571429,0.697247706422018,0,NA,8.48234198237249,3.2466657267069,9.94517373750157,2.98373220867846,7.1767381644635,3.09097569413519,3.48452967883148,1.04060019778031,0.0129456863457671,0.016297148670664,-3.09339799240343,0.998505568349885,-2.88095702707325,1.01637371411588,0.0150928001661893,0.0901007285735209,-0.0252809242678471,0.040158721877177,-0.0183506602583036,0.00785816518396967,-3.31760039432838,0.974093837839522,-4.87879492812311,0.952121905616994,0.3546568327676,0.18950764566214,-0.109826048214069,0.0163438839500039,0.201331458771415,0.0921074430213072,-0.111264096349464,0.0386599425333316,0.309237937740773,0.243369144841883,-3.45696680723726,0.993704850597657,-5.03838888459479,0.997681138082692,0.209911300693821,0.0999262613989096,-0.0978238551897715,0.0426199024635812,2.50965795149078,0.419359508187848,-595.050552531128,-1004.63340527806,0.40769384194782,TRUE,NA
"whalen","class_weights",1,0,1100,0,0.731884057971015,0.646702512030654,-170.992853457699,-0.619539324122098,0.63974930954696,0.207496455975938,276,0.333333333333333,0.8,0.470588235294118,0.881481481481482,0.838028169014085,0.859205776173285,0.565789473684211,0.632352941176471,0.597222222222222,0.780487804878049,0.571428571428571,0.65979381443299,0,NA,6.65863537682177,2.38677833975796,9.10550143440371,2.06088783601073,7.02959269209211,2.1467972821267,4.18339545115399,0.660061149448545,0.0261010777592946,0.0143052169147347,-1.19580813866073,1.31684699249203,-0.532465975566565,1.34929155674138,0.176232839476962,0.0885108690015152,-0.07813893742004,0.0381269950302174,-0.0192499583091758,0.00728986732160026,-1.66142483510041,1.0561413847598,-3.22323554059943,1.04101950711648,0.370359223857487,0.199751796846892,-0.0912872669847264,0.0146688572694299,0.339109824026226,0.0955301643796599,-0.164172476271301,0.0395262760117606,0.121902896218199,0.211212405692159,-1.85925680953347,1.0696587526619,-3.90831211739168,1.06580644421347,0.347445441920208,0.101461394342326,-0.153759793075493,0.0428251285271019,2.89157080605431,0.473475807117461,-571.97383671141,-1004.93359373169,0.430834196130848,TRUE,NA
"whalen","class_weights",1,1,1101,0,0.749090909090909,0.660535052459831,-154.712996111774,-0.562592713133723,0.646661043488247,0.227664176482622,275,0.290322580645161,1,0.45,0.875912408759124,0.839160839160839,0.857142857142857,0.673913043478261,0.462686567164179,0.548672566371681,0.754098360655738,0.821428571428571,0.786324786324786,0,NA,5.00943033871727,2.3796647885374,7.42271421996402,2.09017922627915,4.94715771902575,2.18285914035119,3.0466114741885,0.757285900719964,0.023741221600745,0.0179035076009252,-0.900434057047124,1.15824172089937,-0.540201608653276,1.16485861367323,0.023061004615944,0.0857615786183971,-0.018809583055854,0.0371677098998653,-0.0215076999747354,0.0076757066709974,-1.72185069939512,0.931160149623308,-3.20888501298837,0.900458754507393,0.350995865082031,0.185707301882244,-0.0809486006503675,0.0148271049631958,0.197013755951428,0.0865406983679943,-0.112148897996612,0.036591377379004,0.26728114499693,0.229972789017518,-1.63598474061503,0.948009263668839,-3.44982288326257,0.941977473097273,0.220610750353713,0.0937437292990799,-0.108122453087079,0.0403931951952336,2.2563374364201,0.417109185101852,-622.301422342624,-1001.66663990273,0.378734004355928,TRUE,NA
