"dataset","metodo","covariable","alternativa","prob_base","prob_perturbada","cambio_abs","elasticidad"
"swissmetro","SMOTE","CAR_TT","2",0.328275648926169,0.328812928215678,0.000537279289508252,0.163667116725155
"swissmetro","SMOTE","CAR_TT","3",0.338853375564765,0.337753156161762,-0.00110021940300309,-0.324688931066235
"swissmetro","SMOTE","CAR_CO","1",0.332870975509066,0.332837430696684,-3.35448123823245e-05,-0.0100774218392048
"swissmetro","SMOTE","CAR_CO","2",0.328275648926169,0.328243632276861,-3.20166493082974e-05,-0.00975297723514609
"swissmetro","SMOTE","CAR_CO","3",0.338853375564765,0.338918937026455,6.55614616905664e-05,0.0193480326354417
"swissmetro","CVAE","TRAIN_TT","1",0.321168605563547,0.318339660979982,-0.00282894458356464,-0.880828491502387
"swissmetro","CVAE","TRAIN_TT","2",0.31893225699615,0.320301365469606,0.00136910847345623,0.42927877109425
"swissmetro","CVAE","TRAIN_TT","3",0.359899137440303,0.361358973550412,0.00145983611010836,0.405623675702891
"swissmetro","CVAE","TRAIN_CO","1",0.321168605563547,0.322105902563623,0.000937297000076442,0.291839545908228
"swissmetro","CVAE","TRAIN_CO","2",0.31893225699615,0.318478726701869,-0.000453530294281024,-0.14220270428353
"swissmetro","CVAE","TRAIN_CO","3",0.359899137440303,0.359415370734508,-0.00048376670579553,-0.134417300701581
"swissmetro","CVAE","SM_TT","1",0.321168605563547,0.321887975734992,0.000719370171445022,0.223985208698328
"swissmetro","CVAE","SM_TT","2",0.31893225699615,0.317539041799592,-0.00139321519655805,-0.436837342726004
"swissmetro","CVAE","SM_TT","3",0.359899137440303,0.360572982465416,0.000673845025112974,0.187231631035722
"swissmetro","CVAE","SM_CO","1",0.321168605563547,0.320577288203088,-0.000591317360459309,-0.184114309498507
"swissmetro","CVAE","SM_CO","2",0.31893225699615,0.320077972791803,0.00114571579565298,0.359234843927001
"swissmetro","CVAE","SM_CO","3",0.359899137440303,0.35934473900511,-0.00055439843519367,-0.154042724063385
"swissmetro","CVAE","CAR_TT","1",0.321168605563547,0.322254935085991,0.00108632952244442,0.338242749641816
"swissmetro","CVAE","CAR_TT","2",0.31893225699615,0.319886691140386,0.000954434144236349,0.299259207339404
"swissmetro","CVAE","CAR_TT","3",0.359899137440303,0.357858373773623,-0.00204076366668088,-0.567037665384619
"swissmetro","CVAE","CAR_CO","1",0.321168605563547,0.321094108524804,-7.44970387429045e-05,-0.0231956167110999
"swissmetro","CVAE","CAR_CO","2",0.31893225699615,0.318866796801693,-6.54601944573008e-05,-0.0205247957901264
"swissmetro","CVAE","CAR_CO","3",0.359899137440303,0.360039094673504,0.000139957233200205,0.0388879045933863
"swissmetro","class_weights","TRAIN_TT","1",0.333016378209628,0.331627333181853,-0.00138904502777482,-0.417110123905208
