"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_4","recall_4","f1_4","precision_5","recall_5","f1_5","beta_asc_car_driver","se_asc_car_driver","beta_asc_car_passenger","se_asc_car_passenger","beta_asc_metro","se_asc_metro","beta_asc_bus","se_asc_bus","beta_b_tcw","se_b_tcw","beta_b_ivt","se_b_ivt","beta_b_wkt","se_b_wkt","beta_b_autlic","se_b_autlic","beta_b_sex_cp","se_b_sex_cp","beta_b_wt","se_b_wt","loglik_train","loglik_nula","rho2","convergio","vot"
"lc_centro","SMOTE",7,0,400,82,0.725,0.636682220544843,-55.7616740739782,-0.697020925924727,0.636572352812675,0.181757301096556,80,0.76,0.76,0.76,0.4,0.25,0.307692307692308,0.735294117647059,1,0.847457627118644,0.75,0.545454545454545,0.631578947368421,-4.83045242864748,0.748867306506167,-3.11621934378271,0.477588932661595,0,NA,-2.05840506668812,0.632070122353996,-0.00982537911822087,0.0156068906631101,-0.00233976375384171,0.000704530157282671,-0.00321198639145684,0.00053073808312452,2.85354274454887,0.671669902491192,-1.0461411503849,0.287932773695592,0.00345515007288017,0.0030413782995211,-223.167081052182,-360.456349321673,0.380876265677799,TRUE,0.238134704594013
"lc_centro","SMOTE",7,1,400,82,0.6625,0.594765166109506,-58.9863982075401,-0.737329977594251,0.615282110689604,0.123391060344127,80,0.655172413793103,0.76,0.703703703703704,0.375,0.375,0.375,0.821428571428571,0.92,0.867924528301887,0.533333333333333,0.363636363636364,0.432432432432432,-5.10948578180263,0.913681050269251,-3.30667800062342,0.622249635156351,0,NA,-2.2909110597901,0.736286549927631,-0.00958766351538576,0.016515110825278,-0.00215232601660079,0.000803347736490622,-0.00371243523812923,0.000577199265446806,2.68951443856904,0.731511908285959,-1.77541672088599,0.295737080681701,-0.00191149513744732,0.00500896491677378,-216.255994079948,-360.286450284878,0.399766508263203,TRUE,0.224489106563539
"lc_centro","SMOTE",7,2,400,82,0.7375,0.717075700320381,-49.4057964129239,-0.617572455161549,0.641750380081985,0.19796614156469,80,0.727272727272727,0.64,0.680851063829787,0.583333333333333,0.875,0.7,0.806451612903226,1,0.892857142857143,0.733333333333333,0.5,0.594594594594595,-4.70159245353677,0.715702109470544,-2.71266406252089,0.492369534221187,0,NA,-2.17245531026757,0.605802251310664,-0.00207082168474677,0.0116566924999056,-0.0016692283840476,0.000648023229645272,-0.00277129995763963,0.000480107328822549,2.8120464707248,0.637169959365849,-1.17283328310861,0.290406567738631,0.000970480325355719,0.00341504252621302,-241.671178457533,-364.275434331442,0.33657020023578,TRUE,0.806070554670533
"lc_centro","SMOTE",7,3,400,81,0.822784810126582,0.789260414260414,-43.9295346688287,-0.556070059099097,0.65653399836975,0.124292757707854,79,0.777777777777778,0.84,0.807692307692308,0.714285714285714,0.625,0.666666666666667,0.862068965517241,1,0.925925925925926,0.875,0.666666666666667,0.756756756756757,-4.03317351161282,0.688891665509442,-2.7540015022191,0.452933515451904,0,NA,-2.07745889165022,0.615074873732866,-0.0178064512077293,0.0140168442372951,-0.00152247699711855,0.000640707400393164,-0.0025294986034761,0.000481780386866704,2.66722665761199,0.676196637761699,-0.623753849655773,0.282489568953998,0.00184023320352453,0.00307962102893348,-240.189795676359,-353.472761514935,0.320485701226484,TRUE,0.0855014275083448
"lc_centro","SMOTE",7,4,400,81,0.772151898734177,0.736537120590648,-44.1040632538803,-0.558279281694687,0.662117824745399,0.175054576452682,79,0.75,0.84,0.792452830188679,0.5,0.777777777777778,0.608695652173913,0.884615384615385,0.958333333333333,0.92,0.909090909090909,0.476190476190476,0.625,-4.29629545347136,0.734637550667807,-2.31419057317408,0.453928133089712,0,NA,-1.73026387365884,0.581039827515706,0.000538701680285225,0.0112525890420889,-0.00200108617490084,0.000639356962994019,-0.00267989549060349,0.000486076627396904,2.47116487544145,0.64567707751839,-1.5376988838234,0.308147607024564,0.000851217827227487,0.00337483870012047,-248.681632026209,-366.656108978952,0.321757838104138,TRUE,-3.7146462469568
"lc_centro","SMOTE",8,0,400,82,0.8125,0.760337995337995,-44.7266959192822,-0.559083698991027,0.710894138365412,0.147150548944958,80,0.657142857142857,0.92,0.766666666666667,1,0.375,0.545454545454545,0.96,0.96,0.96,0.882352941176471,0.681818181818182,0.769230769230769,-4.90474298351151,0.758826845935663,-2.90993347719011,0.469126818672887,0,NA,-1.40405262663077,0.612788330548967,9.93255920617696e-05,0.0117281006534837,-0.00288988282217219,0.000710974940276845,-0.0032771433879247,0.000520713430287491,3.35719941076678,0.675042744027564,-1.00942004211031,0.275688064677567,0.00313729433415761,0.00298713097367911,-230.888756689676,-360.456349321673,0.359454321933361,TRUE,-29.095047531909
"lc_centro","SMOTE",8,1,400,82,0.7875,0.760046888994258,-45.4273786219021,-0.567842232773776,0.650303707679547,0.194415722998496,80,0.8,0.8,0.8,0.545454545454545,0.75,0.631578947368421,0.793103448275862,0.92,0.851851851851852,0.933333333333333,0.636363636363636,0.756756756756757,-4.1841170413121,0.764047812418589,-2.7422674462849,0.470879151707801,0,NA,-1.81167040922849,0.606687501786261,-0.0119924246375901,0.0134873819612424,-0.0020564501137448,0.000667881097914221,-0.00272779634474141,0.000494977040241165,2.24782024947528,0.699963282124599,-1.07912966862319,0.283870014930267,0.000139175841762377,0.00348552738792356,-246.04465590767,-363.006923005979,0.322203957240734,TRUE,0.171479094169071
"lc_centro","SMOTE",8,2,400,82,0.7375,0.692054014440693,-54.855235703643,-0.685690446295538,0.640949134937724,0.211357994567959,80,0.818181818181818,0.72,0.765957446808511,0.4,0.75,0.521739130434783,0.833333333333333,1,0.909090909090909,0.769230769230769,0.454545454545455,0.571428571428571,-5.50107591108694,0.753051674938298,-3.30136665487745,0.561376082754607,0,NA,-2.47062093223172,0.690235061883328,-0.00627066379620424,0.014705099755373,-0.00169596603884185,0.0007065201898401,-0.00339775413428302,0.000518892484610098,3.22447505019702,0.638753612764557,-1.03820194641103,0.274478701717036,-0.000803604172553246,0.00399566006096535,-229.787303441084,-360.757582427503,0.363042345791136,TRUE,0.270460368146105
"lc_centro","SMOTE",8,3,400,81,0.734177215189873,0.680524449421426,-49.1054787596906,-0.621588338730261,0.632294935672264,0.193730945350491,79,0.818181818181818,0.72,0.765957446808511,0.5,0.5,0.5,0.78125,1,0.87719298245614,0.647058823529412,0.523809523809524,0.578947368421053,-4.37431866139785,0.800818605453165,-3.05891990512551,0.498885099884811,0,NA,-1.85452985902009,0.670194747837953,-0.0100466551090406,0.0155276128459775,-0.00226368292376639,0.000742043526042028,-0.00287075041480057,0.000505414921696538,2.33890342820351,0.70431755267331,-0.816761751561709,0.291334783188107,0.00110190179690955,0.00337091907806139,-234.196224571129,-359.18783799621,0.347983979976515,TRUE,0.225317073115149
"lc_centro","SMOTE",8,4,400,81,0.708860759493671,0.668737242083195,-56.1055897791452,-0.710197338976522,0.597159082917481,0.111050017452423,79,0.678571428571429,0.76,0.716981132075472,0.6,0.666666666666667,0.631578947368421,0.8,1,0.888888888888889,0.636363636363636,0.333333333333333,0.4375,-4.48513953794378,0.726713349409693,-2.588211598255,0.454644070636538,0,NA,-2.41560927203136,0.606748670393712,-0.000164309945933181,0.0115100819171176,-0.00141528869459408,0.000634926831711541,-0.00316553778101711,0.000519309115907904,2.63036919518699,0.670523668059879,-1.30839513534837,0.30205074957944,0.00367639978243164,0.0028225854671065,-233.92628938555,-360.352117319395,0.350839697777574,TRUE,8.61353027996025
