"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_3","recall_3","f1_3","beta_asc_train","se_asc_train","beta_asc_sm","se_asc_sm","beta_asc_car","se_asc_car","beta_b_time","se_b_time","beta_b_cost","se_b_cost","loglik_train","loglik_nula","rho2","convergio","vot"
"swissmetro","SMOTE",1,4,14919,6351,0.381419234360411,0.335972428091133,-2324.28153797389,-1.08509875722404,0.343766181690103,0.510531850849249,2142,0.122317596566524,0.201413427561837,0.152202937249666,0.602484472049689,0.234111021721641,0.337195828505214,0.393126571668064,0.761363636363636,0.518518518518518,0.37515226448207,0.0296943279099022,0,NA,0.356702889739402,0.0254202433814612,-0.00361070294587099,0.000272820376823953,0.000366137864534617,1.09125073909767e-05,-15983.0885807992,-16390.1967346395,0.0248385153901127,TRUE,NA
"swissmetro","SMOTE",2,0,14916,6348,0.400093370681606,0.352316125365387,-2320.97789609103,-1.08355644075212,0.344371258125499,0.509353955323133,2142,0.135857461024499,0.216312056737589,0.166894664842681,0.642706131078224,0.244372990353698,0.354105998835178,0.40327868852459,0.798701298701299,0.535947712418301,0.369351284954475,0.0311005706405453,0,NA,0.359140227644723,0.0255603319512118,-0.00354213408625312,0.000300371426366612,0.000378659176799956,1.11080709364554e-05,-15965.9497963899,-16386.9008977735,0.0256882679653465,TRUE,NA
"swissmetro","SMOTE",2,1,14919,6351,0.390289449112979,0.336640197255935,-2317.35301659318,-1.08186415340485,0.344916672856119,0.506017141751416,2142,0.111627906976744,0.169611307420495,0.134642356241234,0.614736842105263,0.234915526950925,0.339930151338766,0.400970088924818,0.805194805194805,0.535348084187804,0.356891908899706,0.0294800839995057,0,NA,0.351558232142672,0.0251786199173036,-0.00340492047828633,0.000276035686506513,0.000375659280538153,1.12645787298563e-05,-15976.634450577,-16390.1967346395,0.0252322953017703,TRUE,NA
"swissmetro","SMOTE",2,2,14919,6351,0.380018674136321,0.32739009294464,-2350.65594807303,-1.0974117404636,0.340897001983439,0.507438440999987,2142,0.110294117647059,0.159010600706714,0.130246020260492,0.579256360078278,0.238133547868061,0.33751425313569,0.386753883892069,0.767857142857143,0.514410005437738,0.38014892524286,0.0293723681651374,0,NA,0.368964949652861,0.0251039578881355,-0.00362872974761175,0.000274595409494729,0.000391301007227293,1.08345662483367e-05,-15936.4408761907,-16390.1967346395,0.0276845888914687,TRUE,NA
"swissmetro","SMOTE",2,3,14919,6351,0.391223155929038,0.331314629423639,-2320.69149871089,-1.08342273515914,0.343763261253374,0.505990238493456,2142,0.0947630922693267,0.134275618374558,0.111111111111111,0.613682092555332,0.245374094931617,0.350574712643678,0.397909967845659,0.803571428571429,0.532258064516129,0.342588314131517,0.0316642171775023,0,NA,0.34248005785345,0.0254920617151317,-0.00326428493685044,0.000314495335965435,0.000362581083428456,1.11425093010106e-05,-15990.8109956349,-16390.1967346395,0.0243673547957192,TRUE,NA
"swissmetro","SMOTE",2,4,14919,6351,0.388888888888889,0.338334908160811,-2321.93280579206,-1.0840022436004,0.344253706216996,0.505445709840345,2142,0.123831775700935,0.187279151943463,0.149085794655415,0.624203821656051,0.236524537409493,0.343057176196033,0.390989541432019,0.788961038961039,0.522861753630984,0.352903755660194,0.0286018372723853,0,NA,0.344674946071253,0.0250352634088021,-0.0033803653216146,0.000259804326808089,0.000361319872445492,1.08424377176091e-05,-15999.7707449522,-16390.1967346395,0.0238207018505274,TRUE,NA
"swissmetro","SMOTE",3,0,14916,6348,0.390289449112979,0.334460017042236,-2329.92981572161,-1.08773567494006,0.342482260657768,0.51210849508947,2142,0.119402985074627,0.170212765957447,0.140350877192982,0.606194690265487,0.220257234726688,0.32311320754717,0.399068322981366,0.834415584415584,0.539915966386555,0.352134304814202,0.0296904633256847,0,NA,0.349482407993124,0.025239983226352,-0.0033425406259602,0.000278761957710656,0.000368693244888387,1.08932729473423e-05,-15981.9346865925,-16386.9008977735,0.0247128004073084,TRUE,NA
"swissmetro","SMOTE",3,1,14919,6351,0.400093370681606,0.350750665158561,-2319.24384368617,-1.08274689247721,0.345358857173227,0.501610961648261,2142,0.118421052631579,0.190812720848057,0.146143437077131,0.628301886792453,0.267900241351569,0.375634517766497,0.406574394463668,0.762987012987013,0.530474040632054,0.383233211813317,0.0300538786496106,0,NA,0.363643698315098,0.0253802811336124,-0.00373996526846876,0.000282567055638653,0.000385296415241871,1.10455448173855e-05,-15955.5073985232,-16390.1967346395,0.0265213006990748,TRUE,NA
"swissmetro","SMOTE",3,2,14919,6351,0.402894491129785,0.351445875552086,-2315.25780597302,-1.08088599718628,0.345306516572537,0.504877867202559,2142,0.134474327628362,0.19434628975265,0.158959537572254,0.628458498023715,0.255832662912309,0.363636363636364,0.399348003259984,0.795454545454545,0.53174172544764,0.356551794537363,0.0297710700713748,0,NA,0.349506648389398,0.0252768592621617,-0.0034028407347369,0.000280229737904899,0.000370422973575483,1.09763372629797e-05,-15987.6930182496,-16390.1967346395,0.0245575890824583,TRUE,NA
"swissmetro","SMOTE",3,3,14919,6351,0.401493930905696,0.353071073665189,-2320.79559396536,-1.08347133238345,0.344593319635248,0.503152027682482,2142,0.120950323974082,0.197879858657244,0.150134048257373,0.628083491461101,0.266291230893001,0.374011299435028,0.410590277777778,0.767857142857143,0.535067873303167,0.375670658271173,0.0295105836463478,0,NA,0.35427847782857,0.0251022363792921,-0.00368527046326928,0.000276040142497603,0.000372873118554705,1.15979066387653e-05,-15979.4386199355,-16390.1967346395,0.0250612070955778,TRUE,NA
