"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_4","recall_4","f1_4","precision_5","recall_5","f1_5","beta_asc_car_driver","se_asc_car_driver","beta_asc_metro","se_asc_metro","beta_asc_bus","se_asc_bus","beta_b_tcw","se_b_tcw","beta_b_ivt","se_b_ivt","beta_b_wkt","se_b_wkt","beta_b_autlic","se_b_autlic","beta_b_mi_cd","se_b_mi_cd","beta_b_wt","se_b_wt","beta_b_mi_bus","se_b_mi_bus","loglik_train","loglik_nula","rho2","convergio","vot"
"sm_centro","ROS",3,2,798,342,0.833333333333333,0.780862815345574,-42.6760278920412,-0.374351121860011,0.774924434651431,0.199946460875189,114,0.416666666666667,0.909090909090909,0.571428571428572,0.875,0.945945945945946,0.909090909090909,1,0.757575757575758,0.862068965517241,-3.30147382656855,0.71294387069484,0,NA,-1.89066230640514,0.537937274270011,0.0102026992529503,0.00910882322161573,-0.00178737415451692,0.000934571440286207,-0.000728345739910697,0.000272502175907603,0.811934024706857,0.502526236551402,2.00008903286042e-05,5.09666856614175e-06,-0.00239719189125076,0.00209953272269747,-1.93051715601266e-06,4.727724549514e-06,-364.949105442227,-518.468892554958,0.296102214264394,TRUE,-0.175186400206796
"sm_centro","ROS",3,3,798,342,0.763157894736842,0.704676063973977,-61.5137165702609,-0.539594005002288,0.727499725305649,0.207771545756687,114,0.4,0.727272727272727,0.516129032258065,0.6875,0.891891891891892,0.776470588235294,1,0.696969696969697,0.821428571428572,-5.1389609403239,0.739633643368425,0,NA,-2.01682892634524,0.54012843870794,0.0244826227804451,0.00852019290748018,-0.00180941778074802,0.00100163562019338,-0.000652438894131401,0.00030159148005454,2.07773255936558,0.495509844295108,2.47702305849861e-05,4.76804947445419e-06,-0.00183546153450795,0.00246425609577266,-4.22828300789297e-06,4.64865431364023e-06,-328.269388150928,-511.87721882295,0.358695061863124,TRUE,-0.0739062067399597
"sm_centro","ROS",3,4,798,342,0.763157894736842,0.713608652900688,-56.9824340729311,-0.499845912920449,0.71381665485725,0.271529025919588,114,0.344827586206897,0.909090909090909,0.5,0.815789473684211,0.837837837837838,0.826666666666667,0.978723404255319,0.696969696969697,0.814159292035398,-5.2037579218125,0.833291213901546,0,NA,-2.8226201297535,0.609766070223927,0.027769572727226,0.0100441899518005,-0.000912405884288472,0.000936206035963013,-0.000695057590716226,0.00027080093960051,1.33046361691352,0.607989846735062,2.73848436354994e-05,6.23116611843051e-06,-0.00619121506038459,0.0025970507549145,2.20425630888307e-06,4.45265142483565e-06,-356.807552554289,-523.112458814322,0.31791425239035,TRUE,-0.0328563169930925
"sm_centro","ROS",4,0,795,339,0.842105263157895,0.789427033871478,-42.5953755051059,-0.37364364478163,0.772340021314666,0.161899271703038,114,0.45,0.9,0.6,0.840909090909091,1,0.91358024691358,1,0.746268656716418,0.854700854700855,-3.29391020505415,0.695997520195059,0,NA,-1.94483965533174,0.562215773330745,0.0126014363254584,0.00826102620056424,-0.00132175139069311,0.000964091514675066,-0.000569804589045886,0.00027971304209446,0.60466781584313,0.49138823367987,1.5253782078687e-05,3.63718030639715e-06,-0.00429424236679752,0.00254765599885485,-6.77505698211975e-06,4.7511346410767e-06,-367.954454703009,-518.36466055268,0.290162924473485,TRUE,-0.104888947303793
"sm_centro","ROS",4,1,795,339,0.780701754385965,0.733134920634921,-50.6665832213521,-0.444443712468001,0.739645450090918,0.193749690701457,114,0.409090909090909,0.9,0.5625,0.74468085106383,0.945945945945946,0.833333333333333,1,0.671641791044776,0.803571428571429,-3.64236460543488,0.641584443744453,0,NA,-1.3204680189674,0.43215019137167,0.0150834329543467,0.00968517724267937,-0.00186815271130717,0.000969228801303943,-0.000365931268390661,0.000254200260601091,2.01005737925077,0.481338587467488,1.78413969122837e-05,4.01836421672091e-06,0.000108874510564764,0.00166513606576238,-4.67504795031301e-06,4.06393679267841e-06,-348.064377892366,-514.375676506116,0.323326522248127,TRUE,-0.123854610350412
"sm_centro","ROS",4,2,798,342,0.728070175438597,0.660225036798538,-61.4562204593827,-0.53908965315248,0.70720174446297,0.221872206233942,114,0.318181818181818,0.636363636363636,0.424242424242424,0.673469387755102,0.891891891891892,0.767441860465116,1,0.651515151515151,0.788990825688073,-5.56141778592807,0.862437927216279,0,NA,-2.43827212176094,0.536513967708473,0.0249600264344537,0.0113793266543392,-0.00157820952775998,0.000917238915303595,-0.000506090685809661,0.000294158945939531,2.33981945181109,0.53693543231219,2.72196606261173e-05,5.68682959538446e-06,-0.00338212948268366,0.00217850924708607,2.56095465819916e-06,4.66135810545351e-06,-332.63782397898,-510.085459353722,0.347878246910955,TRUE,-0.0632294814232044
"sm_centro","ROS",4,3,798,342,0.789473684210526,0.733212470458739,-58.9650705051646,-0.517237460571619,0.738101965847508,0.22152512197569,114,0.391304347826087,0.818181818181818,0.529411764705882,0.785714285714286,0.891891891891892,0.835443037974683,0.979591836734694,0.727272727272727,0.834782608695652,-3.47334591656809,NA,0,NA,-1.35570893064418,NA,-0.000404603161888483,NA,-0.00255313884261412,NA,-0.000732719542224477,NA,1.66747556849711,NA,1.95989610520805e-05,NA,-0.001375350827315,NA,-5.86344764500758e-06,NA,-350.883610509606,-518.534559589476,0.323316828125398,FALSE,6.31022958569419
"sm_centro","ROS",4,4,798,342,0.701754385964912,0.663028677805996,-70.4632959760253,-0.618099087508994,0.681872517461477,0.28313540321351,114,0.333333333333333,0.909090909090909,0.48780487804878,0.704545454545455,0.837837837837838,0.765432098765432,0.975,0.590909090909091,0.735849056603774,-3.96394614936328,0.670190719644086,0,NA,-1.86507848764467,0.442877475860665,0.00766765552838568,0.00988602320622155,-0.00282554923584797,0.00100779853002988,-0.00144856740945296,0.000308279741901188,1.38876472998196,0.540036099205346,2.40478929233773e-05,4.92191000473479e-06,-0.00078960776073112,0.0019117792752663,-1.12702909757444e-06,4.07450706657153e-06,-333.74067330708,-517.33171529853,0.354880701419026,TRUE,-0.368502370168793
"sm_centro","ROS",5,0,795,339,0.780701754385965,0.727351557907113,-54.399925088526,-0.477192325337948,0.735798606300209,0.245884949044237,114,0.36,0.9,0.514285714285714,0.795454545454545,0.945945945945946,0.864197530864197,1,0.671641791044776,0.803571428571429,-3.61656848715925,0.766553736111603,0,NA,-1.70223470871858,0.585971878137524,0.0171050891584205,0.00880513388779131,-0.00202304508803876,0.000986633561563527,-0.000204944169637703,0.000281460583631641,1.27698956774302,0.497439673392729,1.60728033950795e-05,5.06094680469383e-06,-0.00376345490991713,0.00239485325572312,-5.94781134065705e-06,5.00608341254065e-06,-354.464135309887,-510.726490533143,0.305960936273611,TRUE,-0.118271531314577
"sm_centro","ROS",5,1,795,339,0.745614035087719,0.702711323763955,-59.002697176363,-0.517567519090903,0.713226156422868,0.250966502342658,114,0.357142857142857,1,0.526315789473684,0.744186046511628,0.864864864864865,0.8,1,0.641791044776119,0.781818181818182,-4.01109251115865,0.764880425728846,0,NA,-2.11591871770383,0.526806615892326,0.0267131127739166,0.0100754871179954,-0.00140639203287541,0.000905786073970286,-0.000539610132952528,0.000292331904929738,0.894704942016964,0.512419863031853,2.37349470553943e-05,4.77269556529306e-06,-0.00290575099645312,0.00217514569021216,-1.51541201657938e-06,4.6361118197227e-06,-359.528842144054,-518.71800965965,0.306889609674523,TRUE,-0.0526480026786187
