variable,metodo,jsd_global,jsd_modo_1,jsd_modo_3,jsd_modo_4,benchmark_p95_modo_1,benchmark_p95_modo_3,benchmark_p95_modo_4,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
primary_caregiver,CVAE,0.16258,1.0,0.21869,0.43753,0.0,0.00851,0.01122,0.55207,True,3
LAT,CVAE,0.24053,0.6973,0.56208,0.4915,0.37808,0.05579,0.06489,0.58363,True,3
LONG,CVAE,1.0,1.0,1.0,1.0,0.39911,0.08423,0.10097,1.0,True,3
DAUID,CVAE,0.55382,0.70445,0.63421,0.80761,0.20031,0.10728,0.10787,0.71542,True,3
mhi,CVAE,0.50001,0.88441,0.70316,0.69575,0.29799,0.08146,0.10916,0.76111,True,3
dwell_den,CVAE,0.09971,0.7148,0.51196,0.53975,0.30867,0.03868,0.05103,0.58884,True,3
lum,CVAE,0.55863,0.7665,0.77031,0.67116,0.28908,0.08326,0.12129,0.73599,True,3
st_den,CVAE,0.72441,0.9924,0.71842,0.79992,0.34178,0.09694,0.12208,0.83691,True,3
inter_den,CVAE,0.56735,0.78808,0.74608,0.65541,0.32,0.04363,0.07256,0.72986,True,3
SF_P_ratio,CVAE,0.52403,1.0,0.66058,0.68365,0.25149,0.06815,0.10667,0.78141,True,3
side_den,CVAE,0.52707,0.92667,0.61633,0.75832,0.38434,0.08468,0.09587,0.7671,True,3
Shelters_SD,CVAE,0.52509,1.0,0.87178,1.0,0.0,0.00942,0.00843,0.95726,True,3
Shelters_D,CVAE,1.0,1.0,1.0,1.0,0.07656,0.00518,0.00797,1.0,True,3
Shelters_A,CVAE,0.00017,1e-05,1e-05,0.00309,0.06594,0.00596,0.01451,0.00104,False,0
Shelters_SA,CVAE,0.02699,0.03198,0.06461,0.01803,0.06551,0.0046,0.01025,0.0382,True,2
