"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"148",77,5,0,0,23000,48,0,0,0,0,0,1153,0,0,0,0,756,0,0,30,0,0,0,0,21.5373913043478,0,0,0,0,1
"150",78,5,0,0,13000,48,0,0,0,0,0,1247,0,0,0,0,648,0,0,78,0,0,0,0,38.1046153846154,0,0,0,0,1
"152",79,1,1,1,103000,45,1,1022,1022,0,816,1468,0,0,0,706,65,0,192,210,9.69378640776699,4.84689320388349,0,2.81796116504854,4.50873786407767,1,1,0,1,1
"154",80,5,0,0,15800,45,1,0,0,0,0,2304,0,0,0,0,223,0,0,120,0,0,0,0,29.3924050632911,0,0,0,0,1
"156",81,5,0,1,20000,44,0,0,0,0,0,779,0,0,0,0,598,0,0,42,0,0,0,0,22.704,0,0,0,0,1
"158",82,5,1,0,35000,48,1,0,0,772,0,794,0,0,50,0,101,138,0,108,0,0,28.3062857142857,0,14.1531428571429,0,0,1,0,1
"160",83,5,1,0,20000,48,1,0,0,0,0,937,0,0,0,0,396,0,0,12,0,0,0,0,24.768,0,0,0,0,1
"162",84,5,1,0.5,38000,48,1,862,943,0,0,1108,324,0,0,0,101,0,0,30,43.9957894736842,16.2947368421053,0,0,13.0357894736842,1,1,0,0,1
"164",85,5,0,1,28000,45,0,0,0,0,0,689,0,0,0,0,230,0,0,294,0,0,0,0,16.5857142857143,0,0,0,0,1
"166",86,1,1,1,104000,40,1,943,0,0,0,1499,432,0,0,0,223,0,0,180,16.8692307692308,0,0,0,3.96923076923077,1,0,0,0,1
"168",87,5,0,0.5,28000,48,0,960,1186,1175,0,1620,828,0,238,0,324,138,0,12,86.688,26.0948571428571,44.2285714285714,0,17.6914285714286,1,1,1,0,1
"170",88,5,1,0,27000,48,1,0,0,412,0,322,0,0,749,0,144,138,0,6,0,0,36.6933333333333,0,18.3466666666667,0,0,1,0,1
"172",89,5,1,0.5,32000,45,0,0,1148,1222,0,1334,0,0,691,0,58,138,0,66,0,21.4059375,36.28125,0,14.5125,0,1,1,0,1
"174",90,5,0,0.33,20000,45,0,0,598,816,0,1094,0,0,482,0,238,36,0,66,0,22.6395,46.44,0,23.22,0,1,1,0,1
"176",91,5,1,1,35000,45,1,812,0,896,0,1017,324,0,691,0,43,36,0,18,32.1762857142857,0,26.5371428571429,0,13.2685714285714,1,0,1,0,1
"178",92,5,0,0,20000,48,0,0,0,0,0,1273,0,0,0,0,158,0,0,78,0,0,0,0,24.768,0,0,0,0,1
"180",93,5,1,1,35000,48,1,868,0,0,0,1205,576,0,0,0,641,0,0,42,46.3515428571429,0,0,0,14.1531428571429,1,0,0,0,1
"184",95,5,0,0.5,28000,48,0,877,853,715,0,1087,324,0,965,0,245,36,0,42,53.9588571428571,19.9028571428571,35.3828571428571,0,17.6914285714286,1,1,1,0,1
"186",96,4,0,0,35000,48,0,0,0,535,372,487,0,0,619,806,259,138,192,6,0,0,28.3062857142857,7.78422857142857,14.1531428571429,0,0,1,1,1
"188",97,4,1,0.5,80000,48,1,835,863,0,738,795,50,0,0,677,778,0,192,18,17.1828,5.5728,0,3.4056,6.192,1,1,0,1,1
"190",98,4,0,0,25000,48,1,0,0,0,486,637,0,0,0,792,461,0,192,12,0,0,0,10.89792,19.8144,0,0,0,1,1
"192",99,5,0,0.66,30000,48,0,248,248,0,0,164,245,0,0,0,194,0,0,6,16.9248,4.5408,0,0,16.512,1,1,0,0,1
"194",100,5,0,0,20000,48,1,0,0,0,0,1181,0,0,0,0,259,0,0,78,0,0,0,0,24.768,0,0,0,0,1
"196",101,4,0,0,30000,48,1,0,0,214,96,350,0,0,518,518,518,48,72,18,0,0,33.024,10.32,16.512,0,0,1,1,1
"198",102,5,1,1,1e+05,50,1,806,0,697,0,1074,324,0,310,0,310,138,0,12,10.836,0,10.32,0,5.16,1,0,1,0,1
"200",103,5,1,0,45000,54,1,0,328,0,0,334,0,36,0,0,72,0,0,6,0,3.4056,0,0,12.384,0,1,0,0,1
"202",104,5,0,1,35000,48,1,0,770,0,618,826,0,43,0,576,223,0,192,12,0,13.4454857142857,0,8.84571428571429,14.1531428571429,0,1,0,1,1
"203",105,1,1,0.5,30000,48,1,461,587,0,486,617,475,0,0,727,367,0,192,12,87.1008,24.768,0,10.32,16.512,1,1,0,1,1
"205",106,5,0,0,13500,44,1,0,0,0,0,883,0,0,0,0,670,0,0,12,0,0,0,0,33.6355555555556,0,0,0,0,1
"207",107,5,1,0,10000,44,1,0,0,0,0,1595,0,0,0,0,202,0,0,180,0,0,0,0,45.408,0,0,0,0,1
