"RespondentID" "choice" "avcycle" "avwalk" "avhsr" "avcar" "timecycle" "timewalk" "accesshsr" "waitingtimehsr" "transfer" "timehsr" "timecar" "parking" "vehind" "owncycle" "gender" "work" "visa" "age" "solo" "shared" "family" "child" "primary_caregiver" "LAT" "LONG" "DAUID" "mhi" "dwell_den" "lum" "st_den" "inter_den" "SF_P_ratio" "side_den" "Shelters_SD" "Shelters_D" "Shelters_A" "Shelters_SA"
"64" 567021942 2 1 1 1 1 1.47501882649786 15 21.31 10.23 0 5 0.693147180559945 0 1 1 1 0 1 24 0 1 0 0 0 43.252363 -79.922035 35250667 5.269 1027.133442 0.134958 16.50261063 102.7133442 0.231917 31.43903392 0 0 1 0
"65" 567021970 4 0 0 1 1 11.5129254649702 0 3.73 10.23 2 10 2.30258509299405 0 0 1 1 1 1 19 0 0 1 1 0 43.251057 -79.892789 35250509 7.5557 1937.202357 0.097577 13.77504238 40.35838244 0.270908 23.62142566 0 1 0 0
"66" 567023968 4 0 0 1 1 11.5129254649702 0 21.31 10.23 0 20 2.70805020110221 1 1 0 1 0 0 22 1 0 0 0 0 43.256617 -79.874346 35250420 4.1378 2206.46918 0.759727 16.52739308 89.19769025 0.390402 24.01135091 0 0 1 0
"67" 567025915 2 1 1 0 1 1.06955371838969 10 0 10.23 0 0 0.693147180559945 0 0 1 1 0 1 21 0 1 0 0 0 43.257934 -79.914077 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"68" 567026366 3 0 0 1 1 11.5129254649702 0 5 20 0 15 1.79175946922805 0 1 0 0 1 1 20 0 1 0 0 0 43.25222 -79.93953 35250964 6.3081 534.6674559 0.455743 13.55660792 15.27621303 0.074477 8.22849688 0 0 1 0
"69" 567031746 3 0 0 1 1 11.5129254649702 0 1 2 0 35 3.40119738166216 0 0 1 0 1 1 19 0 0 1 1 0 43.218472 -79.918446 35250123 9.1358 1368.925394 0.17913 10.10814511 11.40771161 0.346707 20.28181241 0 1 0 0
"70" 567031802 1 1 1 1 0 1.79175946922805 0 21.31 10.23 0 10 11.5129254649702 0 0 1 1 0 1 23 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"71" 567033839 3 0 0 1 1 11.5129254649702 0 5 10 2 60 2.99573227355399 0 0 1 0 0 1 22 0 0 1 1 0 43.216745 -79.833134 35250604 4.6012 1318.30466 0 15.24131567 125.2389427 0.264153 31.13693963 1 0 0 0
"72" 567034403 2 0 1 1 1 1.47501882649786 15 2.86 10.23 0 2 1.6094379124341 0 1 0 0 1 1 23 0 1 0 0 0 43.25756 -79.926933 35250679 6.8767 307.9100117 0.583669 9.653162301 18.34357516 0.077649 16.46633437 0 0 0 0
"73" 567037859 4 0 0 1 1 11.5129254649702 0 10.66 10.23 0 15 2.70805020110221 1 0 0 1 0 1 22 1 0 0 0 0 43.257563 -79.879495 35250405 3.7836 2621.461028 0.409125 21.89385996 81.5565653 0.341613 33.12070148 0 1 0 0
"74" 567038622 3 0 1 1 0 2.29635454326778 34.10301954 15 15 0 5 11.5129254649702 0 0 0 1 0 1 22 1 0 0 0 0 43.257315 -79.935414 35250963 3.5784 4091.346668 0.503834 4.643304097 13.37041395 0.084188 6.352265804 0 0 1 0
"75" 567046778 4 0 0 1 1 11.5129254649702 0 12.42 10.23 2 35 3.2188758248682 1 0 0 0 1 1 19 0 0 1 1 0 43.218472 -79.918446 35250123 9.1358 1368.925394 0.17913 10.10814511 11.40771161 0.346707 20.28181241 0 1 0 0
"76" 567048973 2 0 1 1 1 -0.539884194044409 2 0 10.23 0 2 0.693147180559945 0 0 0 1 0 1 22 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 1 0 0
"77" 567056763 1 1 1 1 0 2.30258509299405 0 2.48 10.23 0 5 11.5129254649702 0 0 1 0 1 0 26 0 1 0 0 0 43.259156 -79.902437 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 0 1 0
"78" 567058135 2 0 1 0 1 1.47501882649786 15 0 10.23 0 0 3.68887945411394 0 0 0 1 0 1 22 0 1 0 0 0 43.261318 -79.907289 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 0 0 0
