"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"415",217,5,1,1,70000,44,1,0,0,533,0,1111,0,0,72,0,72,30,0,54,0,0,8.10857142857143,0,3.24342857142857,0,0,1,0,1
"421",220,1,0,1,66000,44,1,1004,1004,1043,0,1320,180,180,310,0,310,48,0,54,6.364,3.096,10.32,0,3.44,1,1,1,0,1
"431",225,5,1,0,23000,44,1,0,0,966,0,2077,0,0,396,0,396,24,0,42,0,0,29.6139130434783,0,8.88417391304348,0,0,1,0,1
"436",228,1,1,0.5,85000,40,1,913,0,905,0,1905,180,0,425,0,425,24,0,42,4.37082352941176,0,6.07058823529412,0,2.42823529411765,1,0,1,0,1
"438",229,1,1,0.5,80000,40,1,484,484,519,0,1139,180,180,216,0,216,48,0,54,2.064,1.032,6.45,0,2.58,1,1,1,0,1
"440",230,4,0,0.5,53000,48,0,464,464,519,390,1139,180,180,86,734,86,48,78,54,3.73856603773585,1.86928301886792,11.6830188679245,3.03758490566038,3.97222641509434,1,1,1,1,1
"446",233,5,1,0,15000,48,1,0,0,0,0,1052,0,0,0,0,187,0,0,54,0,0,0,0,16.512,0,0,0,0,1
"448",234,3,1,1,70000,44,1,1175,0,1522,0,2214,180,0,202,0,202,48,0,108,8.59508571428571,0,8.10857142857143,0,3.24342857142857,1,0,1,0,1
"450",235,1,0,1,40000,25,0,615,0,409,612,888,130,0,583,871,493,36,78,150,16.28625,0,9.675,2.09625,3.225,1,0,1,1,1
"452",236,1,1,0.66,45000,43,0,588,0,808,612,1267,432,0,504,799,526,48,78,54,7.64253333333333,0,14.792,3.20493333333333,4.93066666666667,1,0,1,1,1
"457",239,2,1,0.5,110000,48,1,1109,1109,1322,0,1942,130,130,612,0,634,48,0,54,3.49003636363636,1.68872727272727,6.75490909090909,0,2.25163636363636,1,1,1,0,1
"459",240,1,1,1,125000,52,1,956,956,0,0,2195,36,36,0,0,346,0,0,198,4.185792,2.14656,0,0,2.14656,1,1,0,0,1
"463",242,5,0,0.5,30000,45,1,0,0,1046,0,1822,0,0,353,0,353,30,0,36,0,0,19.35,0,6.966,0,0,1,0,1
"465",243,3,0,0,32000,45,1,0,0,1268,0,2388,0,0,324,0,324,30,0,258,0,0,18.140625,0,7.25625,0,0,1,0,1
"467",244,4,0,0,30000,45,1,0,590,0,612,1267,0,432,0,814,540,0,78,54,0,1.935,0,5.031,7.74,0,1,0,1,1
"469",245,3,0,0,25000,45,1,0,0,1203,0,2189,0,0,468,0,490,36,0,60,0,0,27.864,0,9.288,0,0,1,0,1
"471",246,2,0,1,34000,45,0,0,972,963,0,1742,0,58,454,0,454,30,0,36,0,2.39029411764706,17.0735294117647,0,6.82941176470588,0,1,1,0,1
"473",247,4,0,0.5,55000,48,0,0,0,854,906,1727,0,0,468,310,468,24,78,42,0,0,13.5098181818182,2.92712727272727,4.50327272727273,0,0,1,1,1
"479",250,4,1,1,68000,45,0,340,340,394,281,678,144,144,468,583,490,12,78,6,10.7563235294118,1.19514705882353,8.53676470588235,2.21955882352941,3.41470588235294,1,1,1,1,1
"481",251,4,0,0.66,20000,45,1,583,0,637,533,1334,230,0,396,468,396,18,78,12,40.0545,0,34.83,7.5465,11.61,1,0,1,1,1
